Ciclo,Tempo_Total_Previsao,Tempo_Leitura,Tempo_Previsao_Rede,Tempo_Escrita,Entradas,Saidas
24,0.023330211639404297,0.014650583267211914,0.00022983551025390625,0.008107662200927734,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
25,0.024409770965576172,0.014825105667114258,0.00019288063049316406,0.009074211120605469,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
26,0.0198976993560791,0.011359453201293945,0.0001919269561767578,0.00806879997253418,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
27,0.025122880935668945,0.01793694496154785,0.00019240379333496094,0.006703376770019531,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
28,0.01970362663269043,0.007919549942016602,0.00019240379333496094,0.01131582260131836,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
29,0.019585132598876953,0.011065959930419922,0.0001926422119140625,0.008063077926635742,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
30,0.023414134979248047,0.014474868774414062,0.0002827644348144531,0.008191108703613281,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
31,0.015506505966186523,0.008167743682861328,0.0001919269561767578,0.006874561309814453,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
32,0.017435312271118164,0.010202884674072266,0.0002722740173339844,0.0066831111907958984,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
33,0.032212257385253906,0.020198583602905273,0.0004515647888183594,0.011203289031982422,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
34,0.019559383392333984,0.010170936584472656,0.0001926422119140625,0.008921623229980469,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
35,0.018952131271362305,0.01039433479309082,0.000194549560546875,0.00797891616821289,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
36,0.018662214279174805,0.007901430130004883,0.00018787384033203125,0.010309219360351562,"[308.4191589355469, 346.00274658203125, 866.5879516601562, 53.364830017089844, 2.066115617752075, 0.0, 1.0]","[2.8618496461518816e-12, 0.9508407711982727, 9.31540153852441e-15, 0.0003207298868801445, 0.048831939697265625, 6.562702310475288e-06]"
