params,num_parameters,num_epochs,epoch_train_time,training_time,backpropagation_time,loss_min,max_cpu_usage,max_ram_usage,accuracy,f1_score,precision,recall,confusion_matrix
"{'batch_size': 512, 'dropout_prob': 0.0, 'epochs': 64, 'hidden_layers': [512, 256], 'learning_rate': 0.001, 'weight_decay': 0.0005}",136966,64,0.3960123062133789,28.384212970733643,1.4963318685908893,0.03925241902470589,0.0,30.8,98.17694833246932,0.9815515370711124,0.9820459120251828,0.9817694833246933,"[[1893, 0, 0, 1, 0, 0], [35, 1786, 17, 13, 41, 60], [7, 0, 1884, 12, 0, 4], [0, 2, 0, 1993, 0, 0], [0, 8, 0, 0, 1877, 2], [0, 0, 0, 0, 9, 1930]]"
"{'batch_size': 512, 'dropout_prob': 0.0, 'epochs': 64, 'hidden_layers': [512, 256], 'learning_rate': 0.001, 'weight_decay': 0.0001}",136966,64,0.49422693252563477,28.380598545074463,1.4996306336188054,0.015130975283682346,0.0,30.8,98.60895109728702,0.9859341759976019,0.9864446446194449,0.9860895109728702,"[[1894, 0, 0, 0, 0, 0], [18, 1804, 6, 8, 58, 58], [0, 0, 1907, 0, 0, 0], [0, 0, 0, 1995, 0, 0], [0, 0, 0, 0, 1887, 0], [0, 0, 0, 0, 13, 1926]]"
"{'batch_size': 512, 'dropout_prob': 0.0, 'epochs': 64, 'hidden_layers': [128, 64, 32], 'learning_rate': 0.1, 'weight_decay': 0.0}",11558,64,0.5437717437744141,29.289859294891357,1.5571785906513969,0.0302168857306242,0.0,30.8,96.36253672023501,0.9629647683641546,0.9638226696639772,0.9636253672023501,"[[1885, 4, 5, 0, 0, 0], [35, 1645, 8, 23, 153, 88], [1, 0, 1904, 2, 0, 0], [0, 0, 0, 1995, 0, 0], [0, 56, 0, 0, 1831, 0], [2, 18, 9, 0, 17, 1893]]"
"{'batch_size': 512, 'dropout_prob': 0.0, 'epochs': 64, 'hidden_layers': [128, 64, 32], 'learning_rate': 0.1, 'weight_decay': 0.0005}",11558,64,0.5458180904388428,29.703043937683105,1.6014197698006263,0.059326305985450745,0.0,30.8,96.20701572490064,0.9615813226901108,0.9624540767642752,0.9620701572490064,"[[1872, 12, 0, 0, 0, 10], [28, 1684, 22, 16, 96, 106], [8, 0, 1891, 8, 0, 0], [30, 26, 11, 1928, 0, 0], [0, 1, 0, 0, 1881, 5], [0, 27, 9, 0, 24, 1879]]"
"{'batch_size': 512, 'dropout_prob': 0.0, 'epochs': 64, 'hidden_layers': [128, 64, 32], 'learning_rate': 0.1, 'weight_decay': 0.0001}",11558,64,0.5539383888244629,30.02674627304077,1.631572187601865,0.04781978204846382,0.0,30.8,96.93278036979437,0.9687608279968443,0.970147726056027,0.9693278036979437,"[[1894, 0, 0, 0, 0, 0], [31, 1672, 19, 19, 103, 108], [5, 1, 1882, 2, 0, 17], [0, 0, 0, 1995, 0, 0], [0, 21, 0, 0, 1858, 8], [0, 5, 0, 0, 16, 1918]]"
"{'batch_size': 512, 'dropout_prob': 0.0, 'epochs': 64, 'hidden_layers': [128, 64, 32], 'learning_rate': 0.01, 'weight_decay': 0.0}",11558,64,0.533818244934082,29.762503385543823,1.5864846716215322,0.0010729152709245682,0.0,30.8,99.13599447036461,0.9913042199964364,0.9914443791439239,0.9913599447036461,"[[1894, 0, 0, 0, 0, 0], [17, 1866, 9, 7, 20, 33], [0, 2, 1905, 0, 0, 0], [0, 0, 0, 1995, 0, 0], [0, 0, 0, 0, 1881, 6], [0, 1, 0, 0, 5, 1933]]"
"{'batch_size': 512, 'dropout_prob': 0.0, 'epochs': 64, 'hidden_layers': [128, 64, 32], 'learning_rate': 0.01, 'weight_decay': 0.0005}",11558,64,0.5470471382141113,29.70233726501465,1.5912412942110836,0.03626083582639694,4.1,30.8,98.53119059961983,0.9851052265797807,0.9856846169195149,0.9853119059961983,"[[1893, 0, 0, 1, 0, 0], [28, 1789, 12, 15, 24, 84], [0, 0, 1907, 0, 0, 0], [0, 0, 0, 1995, 0, 0], [0, 0, 0, 0, 1887, 0], [0, 0, 0, 0, 6, 1933]]"
"{'batch_size': 512, 'dropout_prob': 0.0, 'epochs': 64, 'hidden_layers': [128, 64, 32], 'learning_rate': 0.01, 'weight_decay': 0.0001}",11558,64,0.5399117469787598,29.556024074554443,1.599051181104157,0.007169054821133614,0.0,30.8,98.38430965958182,0.9836327125592954,0.9841826849108478,0.9838430965958183,"[[1894, 0, 0, 0, 0, 0], [30, 1790, 21, 16, 28, 67], [16, 0, 1891, 0, 0, 0], [0, 0, 0, 1995, 0, 0], [0, 0, 0, 0, 1887, 0], [0, 0, 0, 0, 9, 1930]]"
"{'batch_size': 512, 'dropout_prob': 0.0, 'epochs': 64, 'hidden_layers': [128, 64, 32], 'learning_rate': 0.001, 'weight_decay': 0.0}",11558,64,0.5384771823883057,29.290661334991455,1.5645211787669213,0.00658001285046339,0.0,30.8,98.79039225851045,0.9877544090887797,0.988128549404284,0.9879039225851045,"[[1894, 0, 0, 0, 0, 0], [35, 1817, 9, 9, 29, 53], [0, 0, 1907, 0, 0, 0], [0, 0, 0, 1995, 0, 0], [0, 0, 0, 0, 1887, 0], [0, 0, 0, 0, 5, 1934]]"
"{'batch_size': 512, 'dropout_prob': 0.0, 'epochs': 64, 'hidden_layers': [128, 64, 32], 'learning_rate': 0.001, 'weight_decay': 0.0005}",11558,64,0.5403292179107666,29.772319316864014,1.6207188204094605,0.02606819011271,0.0,30.8,98.67807153965785,0.9866185175851419,0.9870061233330939,0.9867807153965785,"[[1894, 0, 0, 0, 0, 0], [28, 1812, 15, 13, 30, 54], [0, 0, 1907, 0, 0, 0], [0, 0, 0, 1995, 0, 0], [0, 0, 0, 0, 1887, 0], [0, 0, 3, 0, 10, 1926]]"
"{'batch_size': 512, 'dropout_prob': 0.0, 'epochs': 64, 'hidden_layers': [128, 64, 32], 'learning_rate': 0.001, 'weight_decay': 0.0001}",11558,64,0.5249316692352295,29.190642833709717,1.5845982009892936,0.013501813635230064,0.0,30.8,98.91999308795576,0.9891462131546417,0.9893812860829878,0.9891999308795576,"[[1884, 2, 0, 0, 0, 8], [16, 1852, 3, 7, 18, 56], [0, 0, 1903, 0, 0, 4], [0, 0, 0, 1995, 0, 0], [0, 3, 0, 0, 1884, 0], [0, 1, 0, 0, 7, 1931]]"
"{'batch_size': 512, 'dropout_prob': 0.0, 'epochs': 64, 'hidden_layers': [256, 128, 64], 'learning_rate': 0.1, 'weight_decay': 0.0}",43590,64,0.5139052867889404,28.62976360321045,1.4852852775500371,0.05897446721792221,0.8,30.8,95.8786936236392,0.9577837006699682,0.9603300379261358,0.9587869362363919,"[[1861, 18, 13, 0, 0, 2], [15, 1581, 20, 24, 121, 191], [0, 0, 1904, 1, 0, 2], [0, 0, 8, 1987, 0, 0], [0, 16, 0, 0, 1866, 5], [0, 0, 31, 0, 10, 1898]]"
"{'batch_size': 512, 'dropout_prob': 0.0, 'epochs': 64, 'hidden_layers': [256, 128, 64], 'learning_rate': 0.1, 'weight_decay': 0.0005}",43590,64,0.539470911026001,28.860429286956787,1.501766575889273,0.0613747276365757,0.0,30.8,94.07292206670122,0.9406730017586734,0.9408430406461545,0.9407292206670123,"[[1789, 102, 0, 3, 0, 0], [25, 1652, 24, 27, 128, 96], [9, 2, 1868, 28, 0, 0], [0, 16, 0, 1979, 0, 0], [0, 119, 0, 0, 1737, 31], [1, 56, 8, 8, 3, 1863]]"
"{'batch_size': 512, 'dropout_prob': 0.0, 'epochs': 64, 'hidden_layers': [256, 128, 64], 'learning_rate': 0.1, 'weight_decay': 0.0001}",43590,64,0.5477118492126465,29.235483407974243,1.5362192068126175,0.036945890635252,0.0,30.8,96.1033350613444,0.9605199715542685,0.9607882566935748,0.961033350613444,"[[1892, 2, 0, 0, 0, 0], [46, 1660, 6, 20, 124, 96], [0, 26, 1881, 0, 0, 0], [4, 0, 0, 1991, 0, 0], [0, 55, 0, 0, 1822, 10], [0, 47, 0, 0, 15, 1877]]"
"{'batch_size': 512, 'dropout_prob': 0.0, 'epochs': 64, 'hidden_layers': [256, 128, 64], 'learning_rate': 0.01, 'weight_decay': 0.0}",43590,64,0.5102546215057373,28.6973078250885,1.4767321338365367,0.0034401644952595234,0.0,30.8,99.37791601866252,0.9937531756559794,0.9938088396363735,0.9937791601866252,"[[1890, 4, 0, 0, 0, 0], [10, 1891, 3, 2, 14, 32], [0, 4, 1903, 0, 0, 0], [0, 0, 0, 1995, 0, 0], [0, 3, 0, 0, 1884, 0], [0, 0, 0, 0, 0, 1939]]"
"{'batch_size': 512, 'dropout_prob': 0.0, 'epochs': 64, 'hidden_layers': [256, 128, 64], 'learning_rate': 0.01, 'weight_decay': 0.0005}",43590,64,0.5542025566101074,29.430041313171387,1.5441991880044832,0.01869640313088894,0.0,30.8,98.8940729220667,0.9888583714392751,0.9889879406708536,0.988940729220667,"[[1893, 0, 0, 1, 0, 0], [23, 1849, 6, 11, 20, 43], [0, 0, 1907, 0, 0, 0], [0, 0, 0, 1995, 0, 0], [0, 12, 0, 0, 1872, 3], [0, 5, 0, 0, 4, 1930]]"
"{'batch_size': 512, 'dropout_prob': 0.0, 'epochs': 64, 'hidden_layers': [256, 128, 64], 'learning_rate': 0.01, 'weight_decay': 0.0001}",43590,64,0.5789244174957275,29.087985515594482,1.5257014841823788,0.010030967183411121,0.0,30.8,98.97183341973388,0.9896642162034619,0.9897104353501706,0.9897183341973389,"[[1892, 1, 1, 0, 0, 0], [7, 1870, 7, 13, 30, 25], [0, 0, 1907, 0, 0, 0], [0, 0, 0, 1995, 0, 0], [0, 0, 0, 0, 1887, 0], [0, 28, 0, 0, 7, 1904]]"
